figure_id,case_name,cycle_size,example_index,seed,iteration,series_key,variable_name,tracked_kind,tracked_value,belief
figure_8,inconsistent_no_tail,3,0,488000000,0,x1_v0,x1,value,0,10.0
figure_8,inconsistent_no_tail,3,0,488000000,1,x1_v0,x1,value,0,10.799999999999999
figure_8,inconsistent_no_tail,3,0,488000000,2,x1_v0,x1,value,0,11.649999999999999
figure_8,inconsistent_no_tail,3,0,488000000,3,x1_v0,x1,value,0,12.538999999999998
figure_8,inconsistent_no_tail,3,0,488000000,4,x1_v0,x1,value,0,13.457799999999999
figure_8,inconsistent_no_tail,3,0,488000000,5,x1_v0,x1,value,0,14.398789999999998
figure_8,inconsistent_no_tail,3,0,488000000,6,x1_v0,x1,value,0,15.355749
figure_8,inconsistent_no_tail,3,0,488000000,7,x1_v0,x1,value,0,16.164224299999997
figure_8,inconsistent_no_tail,3,0,488000000,8,x1_v0,x1,value,0,16.94776839
figure_8,inconsistent_no_tail,3,0,488000000,9,x1_v0,x1,value,0,17.760653095
figure_8,inconsistent_no_tail,3,0,488000000,10,x1_v0,x1,value,0,18.598569907799998
figure_8,inconsistent_no_tail,3,0,488000000,11,x1_v0,x1,value,0,19.457622654909997
figure_8,inconsistent_no_tail,3,0,488000000,12,x1_v0,x1,value,0,20.334333051652997
figure_8,inconsistent_no_tail,3,0,488000000,13,x1_v0,x1,value,0,21.225632220725796
figure_8,inconsistent_no_tail,3,0,488000000,14,x1_v0,x1,value,0,22.12884221852716
figure_8,inconsistent_no_tail,3,0,488000000,15,x1_v0,x1,value,0,23.041650821366353
figure_8,inconsistent_no_tail,3,0,488000000,16,x1_v0,x1,value,0,23.962082147797965
figure_8,inconsistent_no_tail,3,0,488000000,17,x1_v0,x1,value,0,24.888465122659102
figure_8,inconsistent_no_tail,3,0,488000000,18,x1_v0,x1,value,0,25.819401311627963
figure_8,inconsistent_no_tail,3,0,488000000,19,x1_v0,x1,value,0,26.75373326122639
figure_8,inconsistent_no_tail,3,0,488000000,20,x1_v0,x1,value,0,27.69051415759645
figure_8,inconsistent_no_tail,3,0,488000000,21,x1_v0,x1,value,0,28.628979358218697
figure_8,inconsistent_no_tail,3,0,488000000,22,x1_v0,x1,value,0,29.56852014492638
figure_8,inconsistent_no_tail,3,0,488000000,23,x1_v0,x1,value,0,30.508659885875197
figure_8,inconsistent_no_tail,3,0,488000000,24,x1_v0,x1,value,0,31.44903267119158
figure_8,inconsistent_no_tail,3,0,488000000,25,x1_v0,x1,value,0,32.38936439533679
figure_8,inconsistent_no_tail,3,0,488000000,26,x1_v0,x1,value,0,33.329456193102686
figure_8,inconsistent_no_tail,3,0,488000000,27,x1_v0,x1,value,0,34.26917009067871
figure_8,inconsistent_no_tail,3,0,488000000,28,x1_v0,x1,value,0,35.20841670418885
figure_8,inconsistent_no_tail,3,0,488000000,29,x1_v0,x1,value,0,36.147144801925585
figure_8,inconsistent_no_tail,3,0,488000000,30,x1_v0,x1,value,0,37.08533254021563
figure_8,inconsistent_no_tail,3,0,488000000,31,x1_v0,x1,value,0,38.0229801839609
figure_8,inconsistent_no_tail,3,0,488000000,32,x1_v0,x1,value,0,38.96010412937611
figure_8,inconsistent_no_tail,3,0,488000000,33,x1_v0,x1,value,0,39.896732056647934
figure_8,inconsistent_no_tail,3,0,488000000,34,x1_v0,x1,value,0,40.832899052856924
figure_8,inconsistent_no_tail,3,0,488000000,35,x1_v0,x1,value,0,41.76864455950379
figure_8,inconsistent_no_tail,3,0,488000000,36,x1_v0,x1,value,0,42.70401001357089
figure_8,inconsistent_no_tail,3,0,488000000,37,x1_v0,x1,value,0,43.639037065632735
figure_8,inconsistent_no_tail,3,0,488000000,38,x1_v0,x1,value,0,44.5737662726689
figure_8,inconsistent_no_tail,3,0,488000000,39,x1_v0,x1,value,0,45.50823617662523
figure_8,inconsistent_no_tail,3,0,488000000,40,x1_v0,x1,value,0,46.44248269221461
figure_8,inconsistent_no_tail,3,0,488000000,41,x1_v0,x1,value,0,47.3765387388284
figure_8,inconsistent_no_tail,3,0,488000000,42,x1_v0,x1,value,0,48.31043406169162
figure_8,inconsistent_no_tail,3,0,488000000,43,x1_v0,x1,value,0,49.24419519653103
figure_8,inconsistent_no_tail,3,0,488000000,44,x1_v0,x1,value,0,50.17784554006787
figure_8,inconsistent_no_tail,3,0,488000000,45,x1_v0,x1,value,0,51.111405495647716
